No,FileCode,PhotoCode,ExpCode,sampleNumber,ExpNo,Treatment,HostVariety,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
92,DSC_0650.ES13A_02.sample2.clean.jpg.chl.csv,DSC_0650,ES13A_02,sample2,ES13A,Control,AG4632,100fold,isoRep1,techRep2,ES13A_Control_AG4632_100fold_isoRep1_techRep2,7.59,1,1,1,232.254
93,DSC_0520.ES13A_03.sample2.clean.jpg.chl.csv,DSC_0520,ES13A_03,sample2,ES13A,Control,AG4632,100fold,isoRep1,techRep3,ES13A_Control_AG4632_100fold_isoRep1_techRep3,7.51,1,1,1,285.298
94,DSC_0500.ES13A_04.sample2.clean.jpg.chl.csv,DSC_0500,ES13A_04,sample2,ES13A,Control,AG4632,100fold,isoRep2,techRep1,ES13A_Control_AG4632_100fold_isoRep2_techRep1,7.64,1,1,1,259.535
95,DSC_0534.ES13A_05.sample2.clean.jpg.chl.csv,DSC_0534,ES13A_05,sample2,ES13A,Control,AG4632,100fold,isoRep2,techRep2,ES13A_Control_AG4632_100fold_isoRep2_techRep2,7.77,1,1,1,139.559
96,DSC_0597.ES13A_06.sample2.clean.jpg.chl.csv,DSC_0597,ES13A_06,sample2,ES13A,Control,AG4632,100fold,isoRep2,techRep3,ES13A_Control_AG4632_100fold_isoRep2_techRep3,7.58,1,1,1,261.482
97,DSC_0675.ES13A_07.sample2.clean.jpg.chl.csv,DSC_0675,ES13A_07,sample2,ES13A,Control,AG4632,100fold,isoRep3,techRep1,ES13A_Control_AG4632_100fold_isoRep3_techRep1,7.78,1,1,1,144.184
98,DSC_0523.ES13A_08.sample2.clean.jpg.chl.csv,DSC_0523,ES13A_08,sample2,ES13A,Control,AG4632,100fold,isoRep3,techRep2,ES13A_Control_AG4632_100fold_isoRep3_techRep2,7.76,1,1,1,253.42
99,DSC_0652.ES13A_09.sample2.clean.jpg.chl.csv,DSC_0652,ES13A_09,sample2,ES13A,Control,AG4632,100fold,isoRep3,techRep3,ES13A_Control_AG4632_100fold_isoRep3_techRep3,7.75,1,1,1,226.047
100,DSC_0515.ES13A_10.sample2.clean.jpg.chl.csv,DSC_0515,ES13A_10,sample2,ES13A,Control,Osage,100fold,isoRep1,techRep1,ES13A_Control_Osage_100fold_isoRep1_techRep1,7.56,1,1,1,240.532
101,DSC_0659.ES13A_11.sample2.clean.jpg.chl.csv,DSC_0659,ES13A_11,sample2,ES13A,Control,Osage,100fold,isoRep1,techRep2,ES13A_Control_Osage_100fold_isoRep1_techRep2,7.6,1,1,1,270.996
102,DSC_0581.ES13A_12.sample2.clean.jpg.chl.csv,DSC_0581,ES13A_12,sample2,ES13A,Control,Osage,100fold,isoRep1,techRep3,ES13A_Control_Osage_100fold_isoRep1_techRep3,7.63,1,1,1,275.083
103,DSC_0524.ES13A_13.sample2.clean.jpg.chl.csv,DSC_0524,ES13A_13,sample2,ES13A,Control,Osage,100fold,isoRep2,techRep1,ES13A_Control_Osage_100fold_isoRep2_techRep1,7.73,1,1,1,201.091
104,DSC_0553.ES13A_14.sample2.clean.jpg.chl.csv,DSC_0553,ES13A_14,sample2,ES13A,Control,Osage,100fold,isoRep2,techRep2,ES13A_Control_Osage_100fold_isoRep2_techRep2,7.61,1,1,1,270.137
105,DSC_0612.ES13A_15.sample2.clean.jpg.chl.csv,DSC_0612,ES13A_15,sample2,ES13A,Control,Osage,100fold,isoRep2,techRep3,ES13A_Control_Osage_100fold_isoRep2_techRep3,7.67,1,1,1,268.556
106,DSC_0532.ES13A_16.sample2.clean.jpg.chl.csv,DSC_0532,ES13A_16,sample2,ES13A,Control,Osage,100fold,isoRep3,techRep1,ES13A_Control_Osage_100fold_isoRep3_techRep1,7.83,1,1,1,199.525
107,DSC_0640.ES13A_17.sample2.clean.jpg.chl.csv,DSC_0640,ES13A_17,sample2,ES13A,Control,Osage,100fold,isoRep3,techRep2,ES13A_Control_Osage_100fold_isoRep3_techRep2,7.68,1,1,1,255.666
108,DSC_0555.ES13A_18.sample2.clean.jpg.chl.csv,DSC_0555,ES13A_18,sample2,ES13A,Control,Osage,100fold,isoRep3,techRep3,ES13A_Control_Osage_100fold_isoRep3_techRep3,7.68,1,1,1,219.059
